RptName,TimeStart,Status,UserName
Report #11,10/21/2014,rsProcessingAborted,SQLSYSTEM
Report #14,10/21/2014,SP-Error,SQLSYSTEM
Report #14,10/21/2014,SP-Error,SQLSYSTEM
Report #13,10/21/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #10,10/20/2014,rsAccessDenied,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #13,10/20/2014,rsProcessingAborted,David
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #5,10/20/2014,rsProcessingAborted,Bill
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #10,10/20/2014,rsAccessDenied,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #12,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #12,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #11,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #10,10/20/2014,rsAccessDenied,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #13,10/20/2014,rsProcessingAborted,Bill
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #12,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #12,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #3,10/20/2014,SP-Error,SQLSYSTEM
Report #11,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/20/2014,SP-Error,SQLSYSTEM
Report #11,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/20/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/19/2014,SP-Error,SQLSYSTEM
Report #3,10/19/2014,SP-Error,SQLSYSTEM
Report #3,10/19/2014,SP-Error,SQLSYSTEM
Report #3,10/19/2014,SP-Error,SQLSYSTEM
